,0,1,2,3,4,5
0,88.14,87.44,89.53,88.14,97.51,92.07
1,91.78,81.25,78.36,83.22,81.83,91.2
2,88.48,83.56,92.65,86.57,93.34,91.96
3,89.0,94.33,88.19,86.46,86.69,84.49
4,88.37,88.54,88.95,90.16,95.49,93.0
5,88.43,82.64,75.69,81.02,79.75,76.85
6,87.96,87.44,87.38,92.19,93.0,93.23
7,92.59,93.4,96.88,82.52,87.96,83.22
